Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2011,David Price,TBR,8.745913422,2.527488741,3.46031746,0.882615116,0.23747277,0.06862745,0.16884532,0.226950355,1.136701286,0.280528053,0.73327616,89.90310727,83.89870942,82.09260115,3.490341595,3.319591324,0.170750271,3.315893299,3.258452875,David Price,3184,456034
2013,Corey Kluber,CLE,8.307691734,2.015836965,4.12121212,0.916289529,0.22368421,0.05427632,0.1694079,0.268421053,1.262443352,0.329355609,0.72941176,96.85198618,83.35065484,78.25450096,3.848416024,3.29898558,0.549430444,3.097432792,3.248137727,Corey Kluber,2429,446372
2012,R.A. Dickey,NYM,8.858773567,2.079885968,4.25925926,0.924393763,0.24811219,0.05825243,0.18985976,0.222222222,1.052781786,0.275409836,0.79945799,72.67000024,83.5550982,83.75663331,2.734664884,3.269915726,-0.535250842,3.266787959,3.247509816,R.A. Dickey,1245,285079
2018,Corey Kluber,CLE,9.293023256,1.423255814,6.52941176,1.046511628,0.26365796,0.04038005,0.22327791,0.222360248,0.990697674,0.275985663,0.77900552,65.73588574,74.01426877,72.95010271,2.888372093,3.123222273,-0.23485018,3.078843128,3.232605781,Corey Kluber,2429,446372
2012,David Price,TBR,8.744076462,2.51658786,3.47457627,0.682464504,0.24521531,0.07057416,0.17464115,0.224093264,1.099526146,0.284936479,0.81081081,65.98167253,74.79997974,75.12957333,2.559241891,3.047058727,-0.487816835,3.118973917,3.232571989,David Price,3184,456034
2011,Félix Hernández,SEA,8.550641754,2.580599088,3.31343284,0.731811682,0.23029046,0.06950207,0.16078838,0.24494382,1.219686136,0.306625578,0.72720422,90.65124971,80.36562102,78.04361421,3.466476387,3.132376298,0.334100089,3.150570857,3.211037923,Felix Hernandez,4772,433587
2014,Jacob deGrom,NYM,9.235154729,2.757719815,3.34883721,0.448931133,0.25486726,0.07610619,0.17876106,0.224568138,1.140142559,0.297297297,0.77380952,77.19793265,71.82265285,82.01133317,2.693586796,2.669069254,0.024517542,3.033452983,3.191676125,Jacob deGrom,10954,594798
2010,Félix Hernández,SEA,8.363150697,2.523364435,3.31428571,0.612817077,0.23176823,0.06993007,0.16183816,0.210184182,1.057409858,0.262611276,0.7735697,58.57758492,75.28903833,75.06379212,2.271027991,3.041794363,-0.770766372,3.139802087,3.182342683,Felix Hernandez,4772,433587
2014,Dallas Keuchel,HOU,6.569999499,2.159999835,3.04166667,0.494999962,0.18069307,0.05940594,0.12128713,0.248339973,1.17499991,0.295302013,0.75463372,78.30900459,85.32843566,84.60337309,2.924999777,3.212252163,-0.287252386,3.20174828,3.10603706,Dallas Keuchel,9434,572971
2012,Max Scherzer,DET,11.07815335,2.87744243,3.85,1.103019598,0.2935197,0.07623888,0.21728081,0.247922438,1.273534705,0.333333333,0.76487252,89.71213437,78.02433237,77.8126675,3.740675158,3.264967202,0.475707956,3.228636221,3.06506687,Max Scherzer,3137,453286
2016,Max Scherzer,WSN,11.19416083,2.207299319,5.07142857,1.221897837,0.31485588,0.06208426,0.25277162,0.196428571,0.967883233,0.255238095,0.81699346,69.6322146,78.46679801,81.74312929,2.956204445,3.238531188,-0.282326742,3.370164158,3.045684664,Max Scherzer,3137,453286
2017,Clayton Kershaw,LAD,10.38857233,1.542857277,6.73333333,1.182857246,0.29749632,0.04418262,0.2533137,0.209553159,0.948571511,0.266509434,0.87443946,55.82702962,72.46759348,65.75960675,2.314285916,3.071925401,-0.757639485,2.837222028,3.036606458,Clayton Kershaw,2036,477132
2015,Jacob deGrom,NYM,9.659686636,1.790576059,5.39473684,0.753926762,0.27296937,0.0505992,0.22237017,0.209563994,0.97905767,0.271428571,0.78031212,68.4291609,70.22314673,75.42771785,2.544502821,2.704274344,-0.159771523,2.92097024,2.99335078,Jacob deGrom,10954,594798
2013,Clayton Kershaw,LAD,8.847457627,1.983050847,4.46153846,0.419491525,0.25550661,0.05726872,0.19823789,0.192262603,0.915254237,0.250819672,0.80550098,51.14735383,63.62388663,76.17175281,1.830508475,2.386837427,-0.556328952,2.87498565,2.98854361,Clayton Kershaw,2036,477132
2015,Corey Kluber,CLE,9.93243175,1.824324199,5.44444444,0.891891831,0.2765237,0.05079007,0.22573364,0.227710843,1.054053982,0.296625222,0.71428571,84.92509956,73.15411337,75.18231872,3.486486247,2.971431599,0.515054648,3.04581528,2.982509305,Corey Kluber,2429,446372
2011,Justin Verlander,DET,8.964142881,2.043824577,4.38596491,0.860557717,0.25799794,0.05882353,0.19917441,0.191419142,0.920318669,0.236220472,0.80339321,57.5636121,73.85759129,77.34040449,2.402390292,2.993513778,-0.591123486,3.121858404,2.98145756,Justin Verlander,8700,434378
2014,Max Scherzer,DET,10.29349423,2.573373557,4,0.735249588,0.27876106,0.06969027,0.2090708,0.234730539,1.175491625,0.315044248,0.77147623,81.59286069,74.63099976,82.59300361,3.145234348,2.846321773,0.298912575,3.124963148,2.977751194,Max Scherzer,3137,453286
2017,Max Scherzer,WSN,12.01993325,2.466777346,4.87272727,0.986710938,0.34358974,0.07051282,0.27307692,0.176470588,0.901993333,0.245283019,0.80645161,56.67089654,65.85275122,75.99765706,2.511627843,2.898503488,-0.386875645,3.281608885,2.976355347,Max Scherzer,3137,453286
2019,Justin Verlander,HOU,12.10762415,1.695067381,7.14285714,1.452914898,0.35419126,0.04958678,0.30460449,0.17146433,0.802690638,0.218142549,0.88410104,57.24857662,72.17119945,69.68351359,2.582959818,3.267821139,-0.684861321,3.176212717,2.951605261,Justin Verlander,8700,434378
2019,Max Scherzer,WSN,12.69052262,1.723404306,7.36363636,0.940038712,0.35064935,0.04761905,0.3030303,0.220520674,1.027079334,0.321428571,0.78715365,65.64143753,54.14939557,64.59433382,2.924564883,2.448052006,0.476512877,2.879349379,2.931383188,Max Scherzer,3137,453286
2013,Max Scherzer,DET,10.07776074,2.351477505,4.28571429,0.755832055,0.28708134,0.06698565,0.22009569,0.195876289,0.970451034,0.258687259,0.74411135,71.64326817,68.99389429,79.79118904,2.897356212,2.739922798,0.157433414,3.158795316,2.90939682,Max Scherzer,3137,453286
2010,Roy Halladay,PHI,7.863031755,1.077127638,7.3,0.86170211,0.22054381,0.03021148,0.19033233,0.24137931,1.041223383,0.289915966,0.8269066,60.59758741,75.22372148,70.24543859,2.441489312,3.006033917,-0.564544605,2.799082366,2.883465259,Roy Halladay,1303,136880
